customer_id,loyalty_score,product_id,product_description,product_category,basket,date_of_purchase
,,,,,,
C1,7.0,P01,detergent,house,,
,,,,,,
C2,4.0,P02,kitchen roll,house,,
,,,,,,
C3,8.0,P03,bin liners,house,,
,,,,,,
C4,5.0,P04,shower gel,house,,
,,,,,,
C5,7.0,P05,scented candles,house,,
,,,,,,
C6,10.0,P06,fabric softener,house,,
,,,,,,
C7,3.0,P07,cling film,house,,
,,,,,,
C8,7.0,P08,aluminium foil,house,,
,,,,,,
C9,8.0,P09,toilet paper,house,,
,,,,,,
C10,5.0,P10,kitchen knife,house,,
,,,,,,
C11,4.0,P11,dishwasher tablets,house,,
,,,,,,
C12,8.0,P12,ice pack,house,,
,,,,,,
C13,8.0,P13,men's dark green trousers,clothes,,
,,,,,,
C14,3.0,P14,women's shoes,clothes,,
,,,,,,
C15,6.0,P15,jumper,clothes,,
,,,,,,
C16,5.0,P16,men's belt,clothes,,
,,,,,,
C17,2.0,P17,women's black socks,clothes,,
,,,,,,
C18,8.0,P18,men's striped socks,clothes,,
,,,,,,
C19,6.0,P19,men's trainers,clothes,,
,,,,,,
C20,2.0,P20,women's blouse,clothes,,
,,,,,,
C21,5.0,P21,women's red dress,clothes,,
,,,,,,
C22,1.0,P22,avocado,fruit_veg,,
,,,,,,
C23,10.0,P23,cherries,fruit_veg,,
,,,,,,
C24,6.0,P24,scotch bonnets,fruit_veg,,
,,,,,,
C25,9.0,P25,peppers,fruit_veg,,
,,,,,,
C26,1.0,P26,broccoli,fruit_veg,,
,,,,,,
C27,10.0,P27,potatoes,fruit_veg,,
,,,,,,
C28,3.0,P28,grapes,fruit_veg,,
,,,,,,
C29,7.0,P29,easy peeler,fruit_veg,,
,,,,,,
C30,4.0,P30,mango,fruit_veg,,
,,,,,,
C31,9.0,P31,lemon grass,fruit_veg,,
,,,,,,
C32,3.0,P32,onions,fruit_veg,,
,,,,,,
C33,5.0,P33,apples,fruit_veg,,
,,,,,,
C34,3.0,P34,raspberries,fruit_veg,,
,,,,,,
C35,7.0,P35,carrot cake,sweets,,
,,,,,,
C36,5.0,P36,salted caramel dark chocolate,sweets,,
,,,,,,
C37,9.0,P37,gummy bears,sweets,,
,,,,,,
C38,7.0,P38,kombucha,sweets,,
,,,,,,
C39,2.0,P39,ice cream,sweets,,
,,,,,,
C40,4.0,P40,irn bru,sweets,,
,,,,,,
C41,9.0,P41,steak,food,,
,,,,,,
C42,2.0,P42,chicken,food,,
,,,,,,
C43,10.0,P43,mince beef,food,,
,,,,,,
C44,9.0,P44,milk,food,,
,,,,,,
C45,10.0,P45,hummus,food,,
,,,,,,
C46,5.0,P46,activated charcoal croissant,food,,
,,,,,,
C47,2.0,P47,whole chicken,food,,
,,,,,,
C48,4.0,P48,tuna,food,,
,,,,,,
C49,7.0,P49,smoked salmon,food,,
,,,,,,
C50,8.0,P50,camembert,food,,
,,,,,,
C51,3.0,P51,pizza,food,,
,,,,,,
C52,1.0,P52,oats,food,,
,,,,,,
C53,4.0,P53,peanut butter,food,,
,,,,,,
C54,2.0,P54,almond milk,food,,
,,,,,,
C55,8.0,P55,lentil soup,food,,
,,,,,,
C56,4.0,P56,greek yoghurt,food,,
,,,,,,
C57,2.0,P57,parmesan,food,,
,,,,,,
C58,6.0,P58,coconut water,food,,
,,,,,,
C59,6.0,P59,chicken stock,food,,
,,,,,,
C60,10.0,P60,water,food,,
,,,,,,
C61,4.0,P61,red wine,bws,,
,,,,,,
C62,6.0,P62,gin,bws,,
,,,,,,
C63,2.0,P63,cognac,bws,,
,,,,,,
C64,10.0,P64,cigarettes,bws,,
,,,,,,
C65,2.0,,,,,
,,,,,,
C66,10.0,,,,,
,,,,,,
C67,4.0,,,,,
,,,,,,
C68,8.0,,,,,
,,,,,,
C69,7.0,,,,,
,,,,,,
C70,9.0,,,,,
,,,,,,
C71,8.0,,,,,
,,,,,,
C72,5.0,,,,,
,,,,,,
C73,2.0,,,,,
,,,,,,
C74,5.0,,,,,
,,,,,,
C75,8.0,,,,,
,,,,,,
C76,10.0,,,,,
,,,,,,
C77,9.0,,,,,
,,,,,,
C78,9.0,,,,,
,,,,,,
C79,1.0,,,,,
,,,,,,
C80,9.0,,,,,
,,,,,,
C81,7.0,,,,,
,,,,,,
C82,9.0,,,,,
,,,,,,
C83,8.0,,,,,
,,,,,,
C84,1.0,,,,,
,,,,,,
C85,8.0,,,,,
,,,,,,
C86,8.0,,,,,
,,,,,,
C87,3.0,,,,,
,,,,,,
C88,1.0,,,,,
,,,,,,
C89,8.0,,,,,
,,,,,,
C90,3.0,,,,,
,,,,,,
C91,3.0,,,,,
,,,,,,
C92,1.0,,,,,
,,,,,,
C93,5.0,,,,,
,,,,,,
C94,10.0,,,,,
,,,,,,
C95,7.0,,,,,
,,,,,,
C96,10.0,,,,,
,,,,,,
C97,9.0,,,,,
,,,,,,
C98,7.0,,,,,
,,,,,,
C99,9.0,,,,,
,,,,,,
C100,8.0,,,,,
,,,,,,
C101,2.0,,,,,
,,,,,,
C102,1.0,,,,,
,,,,,,
C103,7.0,,,,,
,,,,,,
C104,7.0,,,,,
,,,,,,
C105,8.0,,,,,
,,,,,,
C106,5.0,,,,,
,,,,,,
C107,3.0,,,,,
,,,,,,
C108,8.0,,,,,
,,,,,,
C109,6.0,,,,,
,,,,,,
C110,3.0,,,,,
,,,,,,
C111,1.0,,,,,
,,,,,,
C112,3.0,,,,,
,,,,,,
C113,5.0,,,,,
,,,,,,
C114,3.0,,,,,
,,,,,,
C115,1.0,,,,,
,,,,,,
C116,5.0,,,,,
,,,,,,
C117,10.0,,,,,
,,,,,,
C118,7.0,,,,,
,,,,,,
C119,7.0,,,,,
,,,,,,
C120,9.0,,,,,
,,,,,,
C121,10.0,,,,,
,,,,,,
C122,10.0,,,,,
,,,,,,
C123,3.0,,,,,
,,,,,,
C124,7.0,,,,,
,,,,,,
C125,1.0,,,,,
,,,,,,
C126,4.0,,,,,
,,,,,,
C127,4.0,,,,,
,,,,,,
C128,5.0,,,,,
,,,,,,
C129,7.0,,,,,
,,,,,,
C130,7.0,,,,,
,,,,,,
C131,4.0,,,,,
,,,,,,
C132,7.0,,,,,
,,,,,,
C133,3.0,,,,,
,,,,,,
C134,6.0,,,,,
,,,,,,
C135,2.0,,,,,
,,,,,,
C136,10.0,,,,,
,,,,,,
C137,9.0,,,,,
,,P01,detergent,house,,
,,P02,kitchen roll,house,,
,,P03,bin liners,house,,
,,P04,shower gel,house,,
,,P05,scented candles,house,,
,,P06,fabric softener,house,,
,,P07,cling film,house,,
,,P08,aluminium foil,house,,
,,P09,toilet paper,house,,
,,P10,kitchen knife,house,,
,,P11,dishwasher tablets,house,,
,,P12,ice pack,house,,
,,P13,men's dark green trousers,clothes,,
,,P14,women's shoes,clothes,,
,,P15,jumper,clothes,,
,,P16,men's belt,clothes,,
,,P17,women's black socks,clothes,,
,,P18,men's striped socks,clothes,,
,,P19,men's trainers,clothes,,
,,P20,women's blouse,clothes,,
,,P21,women's red dress,clothes,,
,,P22,avocado,fruit_veg,,
,,P23,cherries,fruit_veg,,
,,P24,scotch bonnets,fruit_veg,,
,,P25,peppers,fruit_veg,,
,,P26,broccoli,fruit_veg,,
,,P27,potatoes,fruit_veg,,
,,P28,grapes,fruit_veg,,
,,P29,easy peeler,fruit_veg,,
,,P30,mango,fruit_veg,,
,,P31,lemon grass,fruit_veg,,
,,P32,onions,fruit_veg,,
,,P33,apples,fruit_veg,,
,,P34,raspberries,fruit_veg,,
,,P35,carrot cake,sweets,,
,,P36,salted caramel dark chocolate,sweets,,
,,P37,gummy bears,sweets,,
,,P38,kombucha,sweets,,
,,P39,ice cream,sweets,,
,,P40,irn bru,sweets,,
,,P41,steak,food,,
,,P42,chicken,food,,
,,P43,mince beef,food,,
,,P44,milk,food,,
,,P45,hummus,food,,
,,P46,activated charcoal croissant,food,,
,,P47,whole chicken,food,,
,,P48,tuna,food,,
,,P49,smoked salmon,food,,
,,P50,camembert,food,,
,,P51,pizza,food,,
,,P52,oats,food,,
,,P53,peanut butter,food,,
,,P54,almond milk,food,,
,,P55,lentil soup,food,,
,,P56,greek yoghurt,food,,
,,P57,parmesan,food,,
,,P58,coconut water,food,,
,,P59,chicken stock,food,,
,,P60,water,food,,
,,P61,red wine,bws,,
,,P62,gin,bws,,
,,P63,cognac,bws,,
,,P64,cigarettes,bws,,
C2,,,,,"[{'product_id': 'P38', 'price': 1680}]",2018-12-01 12:18:00
C5,,,,,"[{'product_id': 'P07', 'price': 1866}]",2018-12-01 11:56:00
C7,,,,,"[{'product_id': 'P08', 'price': 1512}]",2018-12-01 03:13:00
C13,,,,,"[{'product_id': 'P21', 'price': 1226}, {'product_id': 'P19', 'price': 1764}, {'product_id': 'P17', 'price': 895}]",2018-12-01 10:34:00
C16,,,,,"[{'product_id': 'P26', 'price': 39}, {'product_id': 'P27', 'price': 1036}, {'product_id': 'P27', 'price': 22}]",2018-12-01 07:00:00
C43,,,,,"[{'product_id': 'P30', 'price': 618}]",2018-12-01 09:51:00
C47,,,,,"[{'product_id': 'P38', 'price': 1645}, {'product_id': 'P39', 'price': 927}, {'product_id': 'P38', 'price': 1573}]",2018-12-01 07:11:00
C48,,,,,"[{'product_id': 'P23', 'price': 1788}, {'product_id': 'P33', 'price': 671}, {'product_id': 'P34', 'price': 1322}]",2018-12-01 21:43:00
C52,,,,,"[{'product_id': 'P34', 'price': 1048}, {'product_id': 'P30', 'price': 1915}]",2018-12-01 05:27:00
C53,,,,,"[{'product_id': 'P28', 'price': 1694}, {'product_id': 'P27', 'price': 1665}]",2018-12-01 07:19:00
C56,,,,,"[{'product_id': 'P36', 'price': 1484}, {'product_id': 'P38', 'price': 651}, {'product_id': 'P35', 'price': 1341}]",2018-12-01 14:39:00
C57,,,,,"[{'product_id': 'P38', 'price': 320}, {'product_id': 'P37', 'price': 1767}, {'product_id': 'P37', 'price': 368}]",2018-12-01 20:34:00
C60,,,,,"[{'product_id': 'P26', 'price': 148}]",2018-12-01 12:57:00
C66,,,,,"[{'product_id': 'P08', 'price': 1841}, {'product_id': 'P02', 'price': 966}, {'product_id': 'P05', 'price': 1884}]",2018-12-01 03:14:00
C78,,,,,"[{'product_id': 'P49', 'price': 1639}, {'product_id': 'P41', 'price': 1757}, {'product_id': 'P55', 'price': 190}]",2018-12-01 15:29:00
C80,,,,,"[{'product_id': 'P51', 'price': 237}]",2018-12-01 09:15:00
C90,,,,,"[{'product_id': 'P60', 'price': 657}]",2018-12-01 15:34:00
C92,,,,,"[{'product_id': 'P53', 'price': 221}, {'product_id': 'P42', 'price': 348}, {'product_id': 'P55', 'price': 512}]",2018-12-01 06:33:00
C109,,,,,"[{'product_id': 'P38', 'price': 385}, {'product_id': 'P35', 'price': 688}]",2018-12-01 18:56:00
C110,,,,,"[{'product_id': 'P07', 'price': 1426}]",2018-12-01 09:04:00
C114,,,,,"[{'product_id': 'P64', 'price': 1204}]",2018-12-01 22:21:00
C124,,,,,"[{'product_id': 'P59', 'price': 1189}]",2018-12-01 16:28:00
C130,,,,,"[{'product_id': 'P35', 'price': 1660}]",2018-12-01 10:20:00
C133,,,,,"[{'product_id': 'P61', 'price': 505}]",2018-12-01 07:53:00
C1,,,,,"[{'product_id': 'P61', 'price': 1735}]",2018-12-02 15:32:00
C5,,,,,"[{'product_id': 'P12', 'price': 1562}, {'product_id': 'P05', 'price': 1995}, {'product_id': 'P03', 'price': 934}]",2018-12-02 17:07:00
